unique_id,timestamp,y_pred,y_proba,country,target_date,model_version,runtime
22beda7c-8356-478d-904d-c4cd155b3ef3,1592224554,[178528.60817503],None,all,2018-01-05,0.1,000:00:29
570f556a-049a-4380-b1da-0234134dc4f6,1592224673,[178528.60817503],None,all,2018-01-05,0.1,000:00:29
dde5cb6a-a5f5-4549-8bdf-03cbbc793df9,1592230471,[162906.54632045],None,all,2018-07-22,0.2,000:00:00
ecd0bf05-73e1-47d5-afd6-ae9138caee8f,1592232685,[168281.84998483],None,all,2019-04-01,0.2,000:00:00
a58f826f-30ca-4cec-8e00-9bd2cbc9d5e0,1592232685,[130225.69355349],None,united_kingdom,2018-12-21,0.2,000:00:00
30487bf4-37a6-40d9-b705-8283329f8ebd,1592232685,[162906.54632045],None,all,2018-07-17,0.2,000:00:00
6bd1e455-9b16-4dc3-892e-c2ceec8a7705,1592232685,[3945.79304447],None,eire,2018-02-06,0.2,000:00:00
8460d83b-a128-469d-9e2e-ab559d23885b,1592232685,[171729.42038609],None,all,2019-02-19,0.2,000:00:00
3d61bdac-5cc7-435c-8a21-be769f9943c0,1592232685,[203764.31676448],None,united_kingdom,2018-10-14,0.2,000:00:00
6be5a910-72c7-442f-8c0f-43c415d586ee,1592232685,[4049.91950788],None,eire,2018-06-20,0.2,000:00:00
c9ecc48d-6565-480c-9fde-f30740103780,1592232685,[123466.00730507],None,united_kingdom,2019-01-27,0.2,000:00:00
ad852da5-5849-44d9-b426-f4db64a86095,1592232685,[1872.05504214],None,eire,2019-03-18,0.2,000:00:00
3f3d3eab-5643-4bcd-8d20-03ec09e96ceb,1592232685,[242734.15912834],None,united_kingdom,2018-09-16,0.2,000:00:00
09ed8815-d635-47b8-a299-5d765dd2bf33,1592236814,[162906.54632045],None,all,2018-07-22,0.2,000:00:00
